reward,timestep
-507.58569381128365,24000
8.405406220607379,48000
461.15195575908524,72000
782.7040628626363,96000
933.5559483329174,120000
979.6809109451387,144000
1022.9226211506793,168000
1063.9985640274851,192000
1091.5594989804229,216000
1135.9834917658561,240000
1105.298222548505,264000
1312.9984189206814,288000
1274.1533703077769,312000
1706.6931164231846,336000
1653.3764392037804,360000
1565.4927381035513,384000
1530.6815667524977,408000
1905.5201901607882,432000
1577.7347540634598,456000
2077.9001335004887,480000
1733.6167240431885,504000
1982.3172128526232,528000
2155.965772369241,552000
2009.4706545455629,576000
2138.3538699248493,600000
2158.583411456529,624000
2272.2831150286293,648000
2084.760459168381,672000
2049.525928223357,696000
2519.0097023991493,720000
2074.060457229107,744000
2398.053970667252,768000
2712.754616555332,792000
2588.5308602909868,816000
2671.7625578810043,840000
2885.947674865587,864000
2445.175925722089,888000
2524.845505147344,912000
2445.005928248201,936000
3064.282636167509,960000
2568.496878531809,984000
