timestep,reward
24000,7.867324705758317
48000,198.50370493849528
72000,78.64646105501008
96000,-116.51166457450024
120000,131.65761092316296
144000,-44.42749265081662
168000,44.43315399089647
192000,229.8704361263225
216000,138.44513591675877
240000,294.3431930889353
264000,466.7302112448512
288000,238.27925728469268
312000,366.1503988305712
336000,504.22054783251195
360000,541.5665159382892
384000,321.0411469125381
408000,496.08521507809746
432000,847.789846538927
456000,798.3741625326205
480000,1018.4977702876484
